Fold,Accuracy,Precision,Sensitivity,F1,AUROC,Threshold
1,0.949748743718593,0.9,0.972972972972973,0.935064935064935,0.985945945945946,0.4242093243609372
2,0.9748743718592965,0.96,0.972972972972973,0.9664429530201343,0.988,0.7474742331414671
3,0.9646464646464646,0.9230769230769231,0.9863013698630136,0.9536423841059603,0.9935342465753424,0.2944119100807671
4,0.9595959595959596,0.9113924050632911,0.9863013698630136,0.9473684210526315,0.9882739726027396,0.6108190094087615
5,0.9696969696969697,0.935064935064935,0.9863013698630136,0.96,0.9935342465753424,0.6655139233895345
