fold,n_val,n_sepsis,accuracy,precision,sensitivity,f1,auroc,threshold
1,199,74,0.7948743718592965,0.780,0.7929729729729729,0.7864583333333333,0.8243243243243244,0.9970848
2,199,74,0.7998492462311558,0.7859,0.8064864864864865,0.7960474308300395,0.835027027027027,0.16889173
3,198,73,0.7846464646464646,0.7783,0.7952054794520548,0.7866742596810509,0.8278904109589042,0.002960086
4,198,73,0.7994949494949495,0.7895,0.800,0.7947368421052632,0.834054794520548,3.7533398e-06
5,198,73,0.8097979797979798,0.800,0.8063013698630136,0.8031496062992126,0.8427671232876711,0.8995812
